machine_code,unit_number,data_date,sampled_at_jst,slump_value
M0018,3154,2026-08-16,2026-08-16T12:35:49+09:00,-400
M0018,3154,2026-08-16,2026-08-16T13:06:49+09:00,-500
M0018,3154,2026-08-16,2026-08-16T13:36:19+09:00,-1100
M0018,3154,2026-08-16,2026-08-16T14:09:21+09:00,-2300
M0018,3154,2026-08-16,2026-08-16T14:51:21+09:00,-1600
M0018,3154,2026-08-16,2026-08-16T15:29:10+09:00,-1900
M0018,3154,2026-08-16,2026-08-16T16:05:23+09:00,-2100
M0018,3154,2026-08-16,2026-08-16T16:39:55+09:00,-2700
M0018,3154,2026-08-16,2026-08-16T17:30:17+09:00,-3500
M0018,3154,2026-08-16,2026-08-16T18:07:35+09:00,-1700
M0018,3154,2026-08-16,2026-08-16T18:38:25+09:00,-900
M0018,3154,2026-08-16,2026-08-16T19:40:19+09:00,-1300
M0018,3154,2026-08-16,2026-08-16T20:25:39+09:00,-1700
M0018,3154,2026-08-16,2026-08-16T21:04:51+09:00,100
M0018,3154,2026-08-16,2026-08-16T21:42:13+09:00,200
M0019,3155,2026-08-16,2026-08-16T10:53:41+09:00,-100
M0019,3155,2026-08-16,2026-08-16T11:28:27+09:00,-600
M0019,3155,2026-08-16,2026-08-16T12:02:27+09:00,-1200
M0019,3155,2026-08-16,2026-08-16T12:35:49+09:00,-1700
M0019,3155,2026-08-16,2026-08-16T13:06:49+09:00,-2300
M0019,3155,2026-08-16,2026-08-16T14:09:21+09:00,-2800
M0019,3155,2026-08-16,2026-08-16T14:51:21+09:00,-3400
M0019,3155,2026-08-16,2026-08-16T15:29:10+09:00,-3600
M0019,3155,2026-08-16,2026-08-16T16:05:23+09:00,-2800
M0019,3155,2026-08-16,2026-08-16T16:39:55+09:00,-4100
M0019,3155,2026-08-16,2026-08-16T17:30:17+09:00,-4700
M0019,3155,2026-08-16,2026-08-16T18:07:35+09:00,-5400
M0019,3155,2026-08-16,2026-08-16T18:38:25+09:00,-3700
M0019,3155,2026-08-16,2026-08-16T19:40:19+09:00,-3900
M0020,3156,2026-08-16,2026-08-16T10:53:41+09:00,-200
M0020,3156,2026-08-16,2026-08-16T11:28:27+09:00,0
M0020,3156,2026-08-16,2026-08-16T12:02:27+09:00,-200
M0020,3156,2026-08-16,2026-08-16T12:35:49+09:00,-700
M0020,3156,2026-08-16,2026-08-16T13:06:49+09:00,-500
M0020,3156,2026-08-16,2026-08-16T13:36:19+09:00,-1100
M0020,3156,2026-08-16,2026-08-16T14:09:21+09:00,-1500
M0020,3156,2026-08-16,2026-08-16T14:51:21+09:00,-2200
M0020,3156,2026-08-16,2026-08-16T15:29:10+09:00,-2500
M0020,3156,2026-08-16,2026-08-16T16:39:55+09:00,-3100
M0020,3156,2026-08-16,2026-08-16T17:30:17+09:00,-3700
M0020,3156,2026-08-16,2026-08-16T18:07:35+09:00,-3800
M0020,3156,2026-08-16,2026-08-16T18:38:25+09:00,-4900
M0020,3156,2026-08-16,2026-08-16T19:40:19+09:00,-6000
M0020,3156,2026-08-16,2026-08-16T20:25:39+09:00,-6200
M0021,3157,2026-08-16,2026-08-16T10:53:41+09:00,-100
M0021,3157,2026-08-16,2026-08-16T11:28:27+09:00,300
M0021,3157,2026-08-16,2026-08-16T12:02:27+09:00,-200
M0021,3157,2026-08-16,2026-08-16T12:35:49+09:00,-800
M0021,3157,2026-08-16,2026-08-16T13:06:49+09:00,-1600
M0021,3157,2026-08-16,2026-08-16T13:36:19+09:00,-1400
M0021,3157,2026-08-16,2026-08-16T14:09:21+09:00,-2100
M0021,3157,2026-08-16,2026-08-16T14:51:21+09:00,-2700
M0021,3157,2026-08-16,2026-08-16T15:29:10+09:00,-2800
M0021,3157,2026-08-16,2026-08-16T16:05:23+09:00,-300
M0021,3157,2026-08-16,2026-08-16T16:39:55+09:00,-600
M0021,3157,2026-08-16,2026-08-16T17:30:17+09:00,-1200
M0021,3157,2026-08-16,2026-08-16T18:07:35+09:00,-1300
M0021,3157,2026-08-16,2026-08-16T18:38:25+09:00,-1700
M0021,3157,2026-08-16,2026-08-16T19:40:19+09:00,-2300
M0021,3157,2026-08-16,2026-08-16T20:25:39+09:00,-2200
M0021,3157,2026-08-16,2026-08-16T21:04:51+09:00,-900
M0021,3157,2026-08-16,2026-08-16T21:42:13+09:00,2100
M0022,3158,2026-08-16,2026-08-16T10:53:41+09:00,-100
M0022,3158,2026-08-16,2026-08-16T11:28:27+09:00,700
M0022,3158,2026-08-16,2026-08-16T12:02:27+09:00,300
M0022,3158,2026-08-16,2026-08-16T12:35:49+09:00,-300
M0022,3158,2026-08-16,2026-08-16T13:06:49+09:00,-900
M0022,3158,2026-08-16,2026-08-16T13:36:19+09:00,-1500
M0022,3158,2026-08-16,2026-08-16T14:09:21+09:00,-2200
M0022,3158,2026-08-16,2026-08-16T14:51:21+09:00,-1300
M0022,3158,2026-08-16,2026-08-16T15:29:10+09:00,-700
M0022,3158,2026-08-16,2026-08-16T16:05:23+09:00,-1300
M0022,3158,2026-08-16,2026-08-16T16:39:55+09:00,3800
M0022,3158,2026-08-16,2026-08-16T17:30:17+09:00,6200
M0022,3158,2026-08-16,2026-08-16T18:07:35+09:00,6800
M0022,3158,2026-08-16,2026-08-16T18:38:25+09:00,6600
M0022,3158,2026-08-16,2026-08-16T19:40:19+09:00,5900
M0022,3158,2026-08-16,2026-08-16T20:25:39+09:00,5400
M0022,3158,2026-08-16,2026-08-16T21:04:51+09:00,5800
M0022,3158,2026-08-16,2026-08-16T21:42:13+09:00,5300
M0023,3159,2026-08-16,2026-08-16T10:53:41+09:00,-100
M0023,3159,2026-08-16,2026-08-16T11:28:27+09:00,300
M0023,3159,2026-08-16,2026-08-16T12:02:27+09:00,-400
M0023,3159,2026-08-16,2026-08-16T12:35:49+09:00,-900
M0023,3159,2026-08-16,2026-08-16T13:06:49+09:00,-700
M0023,3159,2026-08-16,2026-08-16T13:36:19+09:00,-1200
M0023,3159,2026-08-16,2026-08-16T14:09:21+09:00,-1400
M0023,3159,2026-08-16,2026-08-16T14:51:21+09:00,-600
M0023,3159,2026-08-16,2026-08-16T15:29:10+09:00,-1100
M0023,3159,2026-08-16,2026-08-16T16:05:23+09:00,100
M0023,3159,2026-08-16,2026-08-16T16:39:55+09:00,3200
M0023,3159,2026-08-16,2026-08-16T17:30:17+09:00,2700
M0023,3159,2026-08-16,2026-08-16T18:07:35+09:00,2200
M0023,3159,2026-08-16,2026-08-16T18:38:25+09:00,1900
M0023,3159,2026-08-16,2026-08-16T19:40:19+09:00,1100
M0023,3159,2026-08-16,2026-08-16T20:25:39+09:00,1300
M0023,3159,2026-08-16,2026-08-16T21:04:51+09:00,500
M0023,3159,2026-08-16,2026-08-16T21:42:13+09:00,600
M0024,3160,2026-08-16,2026-08-16T10:53:41+09:00,-100
M0024,3160,2026-08-16,2026-08-16T11:28:27+09:00,-800
M0024,3160,2026-08-16,2026-08-16T12:02:27+09:00,-1100
M0024,3160,2026-08-16,2026-08-16T12:35:49+09:00,-1000
M0024,3160,2026-08-16,2026-08-16T13:06:49+09:00,-1400
M0024,3160,2026-08-16,2026-08-16T13:36:19+09:00,-800
M0024,3160,2026-08-16,2026-08-16T14:09:21+09:00,-1900
M0024,3160,2026-08-16,2026-08-16T14:51:21+09:00,-1300
M0024,3160,2026-08-16,2026-08-16T15:29:10+09:00,-1900
M0024,3160,2026-08-16,2026-08-16T16:05:23+09:00,-1600
M0024,3160,2026-08-16,2026-08-16T16:39:55+09:00,-1800
M0024,3160,2026-08-16,2026-08-16T17:30:17+09:00,-1500
M0024,3160,2026-08-16,2026-08-16T18:38:25+09:00,-2500
M0024,3160,2026-08-16,2026-08-16T19:40:19+09:00,-2200
M0024,3160,2026-08-16,2026-08-16T20:25:39+09:00,-2100
M0025,3161,2026-08-16,2026-08-16T10:53:41+09:00,0
M0025,3161,2026-08-16,2026-08-16T11:28:27+09:00,-700
M0025,3161,2026-08-16,2026-08-16T12:02:27+09:00,-1200
M0025,3161,2026-08-16,2026-08-16T12:35:49+09:00,-1800
M0025,3161,2026-08-16,2026-08-16T13:06:49+09:00,-1500
M0025,3161,2026-08-16,2026-08-16T13:36:19+09:00,-1600
M0025,3161,2026-08-16,2026-08-16T14:09:21+09:00,-2300
M0025,3161,2026-08-16,2026-08-16T14:51:21+09:00,-2900
M0025,3161,2026-08-16,2026-08-16T16:05:23+09:00,-3500
M0025,3161,2026-08-16,2026-08-16T16:39:55+09:00,-4600
M0025,3161,2026-08-16,2026-08-16T17:30:17+09:00,-5000
M0025,3161,2026-08-16,2026-08-16T18:38:25+09:00,-5800
M0025,3161,2026-08-16,2026-08-16T19:40:19+09:00,-6400
M0025,3161,2026-08-16,2026-08-16T20:25:39+09:00,-6800
M0025,3161,2026-08-16,2026-08-16T21:04:51+09:00,-6700
M0025,3161,2026-08-16,2026-08-16T21:42:13+09:00,-6300
M0026,3162,2026-08-16,2026-08-16T10:53:41+09:00,-200
M0026,3162,2026-08-16,2026-08-16T11:28:27+09:00,1300
M0026,3162,2026-08-16,2026-08-16T12:02:27+09:00,2100
M0026,3162,2026-08-16,2026-08-16T12:35:49+09:00,1600
M0026,3162,2026-08-16,2026-08-16T13:06:49+09:00,900
M0026,3162,2026-08-16,2026-08-16T13:36:19+09:00,500
M0026,3162,2026-08-16,2026-08-16T14:09:21+09:00,600
M0026,3162,2026-08-16,2026-08-16T14:51:21+09:00,-200
M0026,3162,2026-08-16,2026-08-16T16:05:23+09:00,-900
M0026,3162,2026-08-16,2026-08-16T17:30:17+09:00,-800
M0026,3162,2026-08-16,2026-08-16T18:07:35+09:00,-1300
M0026,3162,2026-08-16,2026-08-16T18:38:25+09:00,-1100
M0026,3162,2026-08-16,2026-08-16T19:40:19+09:00,-800
M0026,3162,2026-08-16,2026-08-16T20:25:39+09:00,-900
M0026,3162,2026-08-16,2026-08-16T21:04:51+09:00,-1600
M0026,3162,2026-08-16,2026-08-16T21:42:13+09:00,-200
M0026,3162,2026-08-16,2026-08-16T22:32:01+09:00,-300
M0027,3163,2026-08-16,2026-08-16T10:53:41+09:00,-100
M0027,3163,2026-08-16,2026-08-16T11:28:27+09:00,-700
M0027,3163,2026-08-16,2026-08-16T12:02:27+09:00,-800
M0027,3163,2026-08-16,2026-08-16T13:06:49+09:00,-1100
M0027,3163,2026-08-16,2026-08-16T13:36:19+09:00,-1600
M0027,3163,2026-08-16,2026-08-16T14:09:21+09:00,-400
M0027,3163,2026-08-16,2026-08-16T14:51:21+09:00,-500
M0027,3163,2026-08-16,2026-08-16T15:29:10+09:00,-1000
M0027,3163,2026-08-16,2026-08-16T16:05:23+09:00,500
M0027,3163,2026-08-16,2026-08-16T16:39:55+09:00,1600
M0027,3163,2026-08-16,2026-08-16T17:30:17+09:00,1500
M0027,3163,2026-08-16,2026-08-16T18:07:35+09:00,1400
M0027,3163,2026-08-16,2026-08-16T18:38:25+09:00,1900
M0027,3163,2026-08-16,2026-08-16T19:40:19+09:00,4900
M0027,3163,2026-08-16,2026-08-16T20:25:39+09:00,6000
M0027,3163,2026-08-16,2026-08-16T21:04:51+09:00,8800
M0027,3163,2026-08-16,2026-08-16T21:42:13+09:00,7800
M0027,3163,2026-08-16,2026-08-16T22:32:01+09:00,9500
M0028,3164,2026-08-16,2026-08-16T10:53:41+09:00,-100
M0028,3164,2026-08-16,2026-08-16T11:28:27+09:00,-500
M0028,3164,2026-08-16,2026-08-16T12:02:27+09:00,-900
M0028,3164,2026-08-16,2026-08-16T12:35:49+09:00,-1400
M0028,3164,2026-08-16,2026-08-16T13:06:49+09:00,-1100
M0028,3164,2026-08-16,2026-08-16T13:36:19+09:00,-1000
M0028,3164,2026-08-16,2026-08-16T14:09:21+09:00,-700
M0028,3164,2026-08-16,2026-08-16T14:51:21+09:00,-800
M0028,3164,2026-08-16,2026-08-16T16:05:23+09:00,-1500
M0028,3164,2026-08-16,2026-08-16T16:39:55+09:00,-2200
M0028,3164,2026-08-16,2026-08-16T17:30:17+09:00,-1900
M0028,3164,2026-08-16,2026-08-16T18:07:35+09:00,-2700
M0028,3164,2026-08-16,2026-08-16T18:38:25+09:00,-2400
M0028,3164,2026-08-16,2026-08-16T19:40:19+09:00,-1800
M0028,3164,2026-08-16,2026-08-16T20:25:39+09:00,-1500
M0028,3164,2026-08-16,2026-08-16T21:04:51+09:00,-100
M0028,3164,2026-08-16,2026-08-16T21:42:13+09:00,0
M0028,3164,2026-08-16,2026-08-16T22:32:01+09:00,600
M0029,3165,2026-08-16,2026-08-16T10:53:41+09:00,-100
M0029,3165,2026-08-16,2026-08-16T11:28:27+09:00,-700
M0029,3165,2026-08-16,2026-08-16T12:02:27+09:00,-1400
M0029,3165,2026-08-16,2026-08-16T12:35:49+09:00,-1700
M0029,3165,2026-08-16,2026-08-16T13:06:49+09:00,-2500
M0029,3165,2026-08-16,2026-08-16T13:36:19+09:00,-2400
M0029,3165,2026-08-16,2026-08-16T14:09:21+09:00,-3300
M0029,3165,2026-08-16,2026-08-16T14:51:21+09:00,-2300
M0029,3165,2026-08-16,2026-08-16T15:29:10+09:00,-1900
M0029,3165,2026-08-16,2026-08-16T16:05:23+09:00,-2300
M0029,3165,2026-08-16,2026-08-16T16:39:55+09:00,-2500
M0029,3165,2026-08-16,2026-08-16T17:30:17+09:00,-3300
M0029,3165,2026-08-16,2026-08-16T18:07:35+09:00,-3800
M0029,3165,2026-08-16,2026-08-16T18:38:25+09:00,-3100
M0030,3166,2026-08-16,2026-08-16T10:53:41+09:00,-200
M0030,3166,2026-08-16,2026-08-16T11:28:27+09:00,-900
M0030,3166,2026-08-16,2026-08-16T12:35:49+09:00,-1200
M0030,3166,2026-08-16,2026-08-16T13:06:49+09:00,-400
M0030,3166,2026-08-16,2026-08-16T14:09:21+09:00,-1400
M0030,3166,2026-08-16,2026-08-16T14:51:21+09:00,-1700
M0030,3166,2026-08-16,2026-08-16T15:29:10+09:00,-2200
M0030,3166,2026-08-16,2026-08-16T16:39:55+09:00,-3400
M0030,3166,2026-08-16,2026-08-16T17:30:17+09:00,-3500
M0030,3166,2026-08-16,2026-08-16T18:07:35+09:00,-800
M0030,3166,2026-08-16,2026-08-16T18:38:25+09:00,-1100
M0030,3166,2026-08-16,2026-08-16T19:40:19+09:00,-1200
M0030,3166,2026-08-16,2026-08-16T20:25:39+09:00,-1900
M0030,3166,2026-08-16,2026-08-16T21:04:51+09:00,-2000
M0030,3166,2026-08-16,2026-08-16T21:42:13+09:00,-3200
M0030,3166,2026-08-16,2026-08-16T22:32:01+09:00,-3300
M0030,3166,2026-08-16,2026-08-16T23:11:15+09:00,-4200
M0001,3075,2026-08-17,2026-08-17T10:52:31+09:00,0
M0001,3075,2026-08-17,2026-08-17T11:28:29+09:00,-500
M0001,3075,2026-08-17,2026-08-17T12:02:23+09:00,0
M0001,3075,2026-08-17,2026-08-17T12:34:35+09:00,-200
M0001,3075,2026-08-17,2026-08-17T13:07:15+09:00,-1000
M0001,3075,2026-08-17,2026-08-17T13:35:21+09:00,-1100
M0001,3075,2026-08-17,2026-08-17T14:03:11+09:00,-1200
M0001,3075,2026-08-17,2026-08-17T14:36:43+09:00,-600
M0001,3075,2026-08-17,2026-08-17T15:59:33+09:00,-800
M0001,3075,2026-08-17,2026-08-17T17:09:07+09:00,-1000
M0001,3075,2026-08-17,2026-08-17T18:33:03+09:00,-1200
M0001,3075,2026-08-17,2026-08-17T19:09:23+09:00,-1500
M0001,3075,2026-08-17,2026-08-17T19:59:55+09:00,-1600
M0001,3075,2026-08-17,2026-08-17T20:35:21+09:00,100
M0001,3075,2026-08-17,2026-08-17T21:13:05+09:00,700
M0001,3075,2026-08-17,2026-08-17T21:59:13+09:00,1400
M0001,3075,2026-08-17,2026-08-17T22:34:49+09:00,1000
M0002,3076,2026-08-17,2026-08-17T10:52:31+09:00,0
M0002,3076,2026-08-17,2026-08-17T11:28:29+09:00,100
M0002,3076,2026-08-17,2026-08-17T12:02:23+09:00,-200
M0002,3076,2026-08-17,2026-08-17T12:34:35+09:00,-900
M0002,3076,2026-08-17,2026-08-17T13:07:15+09:00,-1500
M0002,3076,2026-08-17,2026-08-17T13:35:21+09:00,-500
M0002,3076,2026-08-17,2026-08-17T15:11:21+09:00,-1100
M0002,3076,2026-08-17,2026-08-17T15:59:33+09:00,-200
M0002,3076,2026-08-17,2026-08-17T16:33:27+09:00,100
M0002,3076,2026-08-17,2026-08-17T17:09:07+09:00,0
M0002,3076,2026-08-17,2026-08-17T17:58:27+09:00,100
M0002,3076,2026-08-17,2026-08-17T18:33:03+09:00,300
M0002,3076,2026-08-17,2026-08-17T19:09:23+09:00,700
M0002,3076,2026-08-17,2026-08-17T19:59:55+09:00,200
M0002,3076,2026-08-17,2026-08-17T20:35:21+09:00,2100
M0002,3076,2026-08-17,2026-08-17T21:13:05+09:00,2400
M0002,3076,2026-08-17,2026-08-17T21:59:13+09:00,4900
M0002,3076,2026-08-17,2026-08-17T22:34:49+09:00,4800
M0003,3077,2026-08-17,2026-08-17T10:52:31+09:00,-200
M0003,3077,2026-08-17,2026-08-17T11:28:29+09:00,-600
M0003,3077,2026-08-17,2026-08-17T12:02:23+09:00,-1300
M0003,3077,2026-08-17,2026-08-17T12:34:35+09:00,-1000
M0003,3077,2026-08-17,2026-08-17T15:11:21+09:00,-1300
M0003,3077,2026-08-17,2026-08-17T15:59:33+09:00,-1400
M0003,3077,2026-08-17,2026-08-17T16:33:27+09:00,-1900
M0003,3077,2026-08-17,2026-08-17T17:09:07+09:00,-1600
M0003,3077,2026-08-17,2026-08-17T17:58:27+09:00,-900
M0003,3077,2026-08-17,2026-08-17T18:33:03+09:00,1200
M0003,3077,2026-08-17,2026-08-17T19:09:23+09:00,2000
M0003,3077,2026-08-17,2026-08-17T19:59:55+09:00,1500
M0003,3077,2026-08-17,2026-08-17T20:35:21+09:00,900
M0003,3077,2026-08-17,2026-08-17T21:13:05+09:00,1800
M0003,3077,2026-08-17,2026-08-17T21:59:13+09:00,2300
M0003,3077,2026-08-17,2026-08-17T22:34:49+09:00,2400
M0003,3077,2026-08-17,2026-08-17T23:11:50+09:00,1900
M0004,3078,2026-08-17,2026-08-17T10:52:31+09:00,0
M0004,3078,2026-08-17,2026-08-17T12:02:23+09:00,-500
M0004,3078,2026-08-17,2026-08-17T12:34:35+09:00,-800
M0004,3078,2026-08-17,2026-08-17T13:07:15+09:00,-1600
M0004,3078,2026-08-17,2026-08-17T13:35:21+09:00,-1300
M0004,3078,2026-08-17,2026-08-17T14:03:11+09:00,-1400
M0004,3078,2026-08-17,2026-08-17T14:36:43+09:00,-100
M0004,3078,2026-08-17,2026-08-17T15:11:21+09:00,500
M0004,3078,2026-08-17,2026-08-17T16:33:27+09:00,0
M0004,3078,2026-08-17,2026-08-17T17:09:07+09:00,-300
M0004,3078,2026-08-17,2026-08-17T19:09:23+09:00,-900
M0004,3078,2026-08-17,2026-08-17T19:59:55+09:00,-500
M0004,3078,2026-08-17,2026-08-17T20:35:21+09:00,-1100
M0004,3078,2026-08-17,2026-08-17T21:13:05+09:00,-2400
M0004,3078,2026-08-17,2026-08-17T21:59:13+09:00,-2100
M0005,3079,2026-08-17,2026-08-17T10:52:31+09:00,-200
M0005,3079,2026-08-17,2026-08-17T11:28:29+09:00,-900
