data_date,sampled_at_jst,avg_slump_value,machine_count
2026-08-14,2026-08-14T15:40:00+09:00,53,30
2026-08-14,2026-08-14T16:00:00+09:00,53,30
2026-08-14,2026-08-14T16:20:00+09:00,300,30
2026-08-14,2026-08-14T16:40:00+09:00,300,30
2026-08-14,2026-08-14T17:00:00+09:00,893,30
2026-08-14,2026-08-14T17:20:00+09:00,893,30
2026-08-14,2026-08-14T17:40:00+09:00,1097,30
2026-08-14,2026-08-14T18:00:00+09:00,1097,30
2026-08-14,2026-08-14T18:20:00+09:00,1247,30
2026-08-14,2026-08-14T18:40:00+09:00,1247,30
2026-08-14,2026-08-14T19:00:00+09:00,1030,30
2026-08-14,2026-08-14T19:20:00+09:00,1030,30
2026-08-14,2026-08-14T19:40:00+09:00,1043,30
2026-08-14,2026-08-14T20:00:00+09:00,1043,30
2026-08-14,2026-08-14T20:20:00+09:00,993,30
2026-08-14,2026-08-14T20:40:00+09:00,993,30
2026-08-14,2026-08-14T21:00:00+09:00,1020,30
2026-08-14,2026-08-14T21:20:00+09:00,1020,30
2026-08-14,2026-08-14T21:40:00+09:00,1040,30
2026-08-14,2026-08-14T22:00:00+09:00,1040,30
2026-08-14,2026-08-14T22:20:00+09:00,1063,30
2026-08-14,2026-08-14T22:40:00+09:00,1063,30
2026-08-14,2026-08-14T23:00:00+09:00,1063,30
2026-08-14,2026-08-14T23:20:00+09:00,1107,30
2026-08-14,2026-08-14T23:40:00+09:00,1137,30
2026-08-15,2026-08-15T11:00:00+09:00,-123,30
2026-08-15,2026-08-15T11:20:00+09:00,-123,30
2026-08-15,2026-08-15T11:40:00+09:00,-363,30
2026-08-15,2026-08-15T12:00:00+09:00,-363,30
2026-08-15,2026-08-15T12:20:00+09:00,-657,30
2026-08-15,2026-08-15T12:40:00+09:00,-697,30
2026-08-15,2026-08-15T13:00:00+09:00,-697,30
2026-08-15,2026-08-15T13:20:00+09:00,-713,30
2026-08-15,2026-08-15T13:40:00+09:00,-713,30
2026-08-15,2026-08-15T14:00:00+09:00,-713,30
2026-08-15,2026-08-15T14:20:00+09:00,-560,30
2026-08-15,2026-08-15T14:40:00+09:00,-517,30
2026-08-15,2026-08-15T15:00:00+09:00,-517,30
2026-08-15,2026-08-15T15:20:00+09:00,-477,30
2026-08-15,2026-08-15T15:40:00+09:00,-477,30
2026-08-15,2026-08-15T16:00:00+09:00,-533,30
2026-08-15,2026-08-15T16:20:00+09:00,-533,30
2026-08-15,2026-08-15T16:40:00+09:00,-503,30
2026-08-15,2026-08-15T17:00:00+09:00,-503,30
2026-08-15,2026-08-15T17:20:00+09:00,-587,30
2026-08-15,2026-08-15T17:40:00+09:00,-587,30
2026-08-15,2026-08-15T18:00:00+09:00,-343,30
2026-08-15,2026-08-15T18:20:00+09:00,-343,30
2026-08-15,2026-08-15T18:40:00+09:00,-93,30
2026-08-15,2026-08-15T19:00:00+09:00,-93,30
2026-08-15,2026-08-15T19:20:00+09:00,-277,30
2026-08-15,2026-08-15T19:40:00+09:00,-277,30
2026-08-15,2026-08-15T20:00:00+09:00,-277,30
2026-08-15,2026-08-15T20:20:00+09:00,-267,30
2026-08-15,2026-08-15T20:40:00+09:00,20,30
2026-08-15,2026-08-15T21:00:00+09:00,20,30
2026-08-15,2026-08-15T21:20:00+09:00,20,30
2026-08-15,2026-08-15T21:40:00+09:00,373,30
2026-08-15,2026-08-15T22:00:00+09:00,373,30
2026-08-15,2026-08-15T22:20:00+09:00,550,30
2026-08-15,2026-08-15T22:40:00+09:00,550,30
2026-08-15,2026-08-15T23:00:00+09:00,1100,30
2026-08-15,2026-08-15T23:20:00+09:00,1100,30
2026-08-15,2026-08-15T23:40:00+09:00,1227,30
2026-08-16,2026-08-16T11:00:00+09:00,-133,30
2026-08-16,2026-08-16T11:20:00+09:00,-133,30
2026-08-16,2026-08-16T11:40:00+09:00,-70,30
2026-08-16,2026-08-16T12:00:00+09:00,-70,30
2026-08-16,2026-08-16T12:20:00+09:00,-83,30
2026-08-16,2026-08-16T12:40:00+09:00,-307,30
2026-08-16,2026-08-16T13:00:00+09:00,-307,30
2026-08-16,2026-08-16T13:20:00+09:00,-413,30
2026-08-16,2026-08-16T13:40:00+09:00,-507,30
2026-08-16,2026-08-16T14:00:00+09:00,-507,30
2026-08-16,2026-08-16T14:20:00+09:00,-627,30
2026-08-16,2026-08-16T14:40:00+09:00,-627,30
2026-08-16,2026-08-16T15:00:00+09:00,-703,30
2026-08-16,2026-08-16T15:20:00+09:00,-703,30
2026-08-16,2026-08-16T15:40:00+09:00,-873,30
2026-08-16,2026-08-16T16:00:00+09:00,-873,30
2026-08-16,2026-08-16T16:20:00+09:00,-847,30
2026-08-16,2026-08-16T16:40:00+09:00,-953,30
2026-08-16,2026-08-16T17:00:00+09:00,-953,30
2026-08-16,2026-08-16T17:20:00+09:00,-953,30
2026-08-16,2026-08-16T17:40:00+09:00,-800,30
2026-08-16,2026-08-16T18:00:00+09:00,-800,30
2026-08-16,2026-08-16T18:20:00+09:00,-837,30
2026-08-16,2026-08-16T18:40:00+09:00,-1070,30
2026-08-16,2026-08-16T19:00:00+09:00,-1070,30
2026-08-16,2026-08-16T19:20:00+09:00,-1070,30
2026-08-16,2026-08-16T19:40:00+09:00,-1070,30
2026-08-16,2026-08-16T20:00:00+09:00,-810,30
2026-08-16,2026-08-16T20:20:00+09:00,-810,30
2026-08-16,2026-08-16T20:40:00+09:00,-927,30
2026-08-16,2026-08-16T21:00:00+09:00,-927,30
2026-08-16,2026-08-16T21:20:00+09:00,-690,30
2026-08-16,2026-08-16T21:40:00+09:00,-690,30
2026-08-16,2026-08-16T22:00:00+09:00,-673,30
2026-08-16,2026-08-16T22:20:00+09:00,-673,30
2026-08-16,2026-08-16T22:40:00+09:00,-613,30
2026-08-16,2026-08-16T23:00:00+09:00,-613,30
2026-08-16,2026-08-16T23:20:00+09:00,-677,30
2026-08-17,2026-08-17T11:00:00+09:00,-40,30
2026-08-17,2026-08-17T11:20:00+09:00,-40,30
2026-08-17,2026-08-17T11:40:00+09:00,-233,30
2026-08-17,2026-08-17T12:00:00+09:00,-233,30
2026-08-17,2026-08-17T12:20:00+09:00,-277,30
